n,t,ecg,ppg,rip
0,0.0,-0.10376936825580987,-0.3768393993800791,-0.2596991756424109
1,0.01,-0.10044016921089796,-0.37585933632561913,-0.2515751126870989
2,0.02,-0.08099875775546996,-0.379526282099322,-0.2432016395636264
3,0.03,-0.07813977578440963,-0.3848027613685131,-0.23508981608650223
4,0.04,-0.058126759499123194,-0.3878589800225002,-0.2250443764014534
5,0.05,-0.06344807234067468,-0.3946057012741144,-0.2169877232619883
6,0.06,-0.05711831535251872,-0.3868299782129133,-0.2084233531364462
7,0.07,-0.07218104972082838,-0.38266363029194617,-0.20085385698828548
8,0.08,-0.07963663329871942,-0.36330509059330346,-0.19057547704559927
9,0.09,-0.11255080533383492,-0.33487556784593286,-0.182357821467355
10,0.1,-0.11769135880519606,-0.2747878381748366,-0.1723055826092314
11,0.11,-0.13384695285249779,-0.2362833032455339,-0.16257581755288134
12,0.12,-0.13502810898819695,-0.14752000107930852,-0.15138685335013696
13,0.13,-0.1486527809178266,-0.03895369919388527,-0.1412174177679865
14,0.14,-0.14228919554086675,0.10710839455828923,-0.13078675960683742
15,0.15,-0.14733836119555702,0.19995622552580788,-0.11994924703176475
16,0.16,-0.14986824407535326,0.33532085404190654,-0.10857419050170741
17,0.17,-0.15070535105277336,0.48557278995497016,-0.09789486047032359
18,0.18,-0.13854941881706886,0.6128226250951496,-0.08533022223135162
19,0.19,-0.15061980778987652,0.6890483551626956,-0.07340820691100569
20,0.2,-0.1387381836020638,0.76323712342307,-0.062352926869887935
21,0.21,-0.14133843956302058,0.8412532476292213,-0.05062596418141998
22,0.22,-0.1337049915070576,0.8746214857715457,-0.037819787340438296
23,0.23,-0.13925965878120958,0.899103118394972,-0.026272331616445977
24,0.24,-0.13568373665181876,0.8974488703226403,-0.01261909356848413
25,0.25,-0.14011644670187412,0.9034514278324192,-0.000985109779377877
26,0.26,-0.12715640226764077,0.8827516564316628,0.010759972593044762
27,0.27,-0.1396041013428306,0.8800532824593594,0.023890768350415197
28,0.28,-0.12741333527099513,0.8547806971723068,0.03716895628856222
29,0.29,-0.13370147701427942,0.8386247776066883,0.050547959487511014
30,0.3,-0.12616289475788608,0.8079493716257099,0.06349312385051234
31,0.31,-0.12814268852796315,0.7995706303286423,0.07707887083682957
32,0.32,-0.1291010741049495,0.7728665152019478,0.09015861558213432
33,0.33,-0.13535655962730037,0.7535286803070272,0.1035663513645823
34,0.34,-0.12984006004460288,0.7147771809181156,0.11584270325813438
35,0.35,-0.1361927199488779,0.6967851478389783,0.12913731729228478
36,0.36,-0.1323778364319763,0.6556955632068513,0.1417583304866432
37,0.37,-0.1422829232190273,0.6193456185063428,0.1553067608745706
38,0.38,-0.13945278404215847,0.5711650923931209,0.16745735282390706
39,0.39,-0.14136038975717963,0.5470787332761651,0.1803265672595842
40,0.4,-0.1316829204229404,0.5086522366638129,0.1934475545770058
41,0.41,-0.13270105639131594,0.4784084008775715,0.20462296026214355
42,0.42,-0.1410152027034934,0.4548157662670777,0.21554231878502036
43,0.43,-0.14088696584277646,0.4473588153147735,0.22795908217483307
44,0.44,-0.13010644811139416,0.43479006346178,0.23999551267382177
45,0.45,-0.1376096494327729,0.4281059238267489,0.2506426351486514
46,0.46,-0.13432379369564657,0.4147529941623515,0.2609818221677526
47,0.47,-0.1418743173461911,0.409184393958635,0.2697937455792132
48,0.48,-0.13719631109318023,0.3875500914857612,0.27852842547406603
49,0.49,-0.1367242670134507,0.3658464262620524,0.2864908018298802
50,0.5,-0.09908026099799502,0.33322208917458346,0.2940865664451876
51,0.51,-0.10317193179844211,0.3175281195875779,0.2988825042509544
52,0.52,-0.10805706566312137,0.2829794740742955,0.30453993105415356
53,0.53,-0.11646339645013862,0.2534467830453176,0.31008464952636605
54,0.54,-0.10022675856589909,0.21579247664817783,0.31383280631218546
55,0.55,-0.11465434600757914,0.19596907720411869,0.3189531450311636
56,0.56,-0.12604487157266842,0.16624670652108794,0.3233073001845873
57,0.57,-0.15479537656169068,0.13302145432005474,0.32665278152887517
58,0.58,-0.1464723822718238,0.09703243678639775,0.32860700111705804
59,0.59,-0.15166594681434828,0.07912026673014233,0.33276720720048725
60,0.6,-0.13752382647739103,0.05188346310188854,0.3353154889945437
61,0.61,-0.14728394692480615,0.026539620705923472,0.3388180213386262
62,0.62,-0.13706630836373843,-0.0035806224808431174,0.3417447447805496
63,0.63,-0.14610953902299242,-0.021644543927351666,0.3440755427096968
64,0.64,-0.1313174946967055,-0.05700177073282506,0.34608157901467923
65,0.65,-0.16506624055062463,-0.09151409406827991,0.34885418597940704
66,0.66,-0.2925606153002338,-0.12834912819829572,0.3528167158239186
67,0.67,-0.21987946386684104,-0.1495399390082008,0.356094276010417
68,0.68,0.3999289990593018,-0.17467513129450354,0.36100421752064143
69,0.69,0.7690158618157907,-0.19789284449083233,0.36488053706094503
70,0.7,0.21334635442930225,-0.2139188924212457,0.3699705998706451
71,0.71,-0.24800969502139728,-0.2227246634334443,0.37450339785033543
72,0.72,-0.3641523390407629,-0.2264792273597143,0.3798679236996054
73,0.73,-0.1738774067913118,-0.2332351476765839,0.38444716864890527
74,0.74,-0.12398836802539885,-0.2385517643535911,0.39027708255263216
75,0.75,-0.12426850885362825,-0.24307834322936514,0.39591388004578926
76,0.76,-0.12279630663405884,-0.25366329805112064,0.3985027676985401
77,0.77,-0.11889601824712379,-0.2654347462952928,0.40292063488288254
78,0.78,-0.12199026009840583,-0.27721910582969145,0.4075591550986495
79,0.79,-0.1121432238369721,-0.28525757610071906,0.41138089432442915
80,0.8,-0.11690182793145705,-0.3008205048690091,0.4150358459837626
81,0.81,-0.11122026851816903,-0.3213674663241239,0.4182025916083166
82,0.82,-0.11282499213290323,-0.3383656385163678,0.42130788805554836
83,0.83,-0.10540714817333227,-0.346989707675806,0.4248652550293803
84,0.84,-0.11105125456706517,-0.3569092152163568,0.42802365314712987
85,0.85,-0.11029308943703574,-0.3689375846695514,0.4304111249072495
86,0.86,-0.09882717024821415,-0.382229356030483,0.43297326226146376
87,0.87,-0.093989223244174,-0.3928865590876693,0.43714372429360804
88,0.88,-0.09111854463366525,-0.40713337386441895,0.43981542632232
89,0.89,-0.07022154660833528,-0.4243571338090682,0.4422914836988924
90,0.9,-0.06789046258320346,-0.43342789802944554,0.44619365254146987
91,0.91,-0.04267210779708689,-0.4401429007794494,0.45125731087522314
92,0.92,-0.03145410097509228,-0.43984525075420866,0.4528493091124052
93,0.93,-0.0205542351187532,-0.44371928903863833,0.4567755492408426
